EC1_cap	EC5_art	EC3_cap	EC2_cap	EC6_ven	EC7_atria	EC10_CMC-like	EC8_ln	Meso
VWF	TM4SF1	HSPA1A	SLC9A3R2	RAMP3	LDB2	VWF	PPFIBP1	PLA2G2A
B2M	SRGN	HSPA1B	RGCC	ACKR1	GMDS	ENG	CCL21	ITLN1
EGFL7	ID1	JUN	TMSB10	PLVAP	LINC02147	HLA-E	MMRN1	C3
TMSB10	S100A6	DNAJB1	IFI27	CALCRL	CEMIP2	EGFL7	TFPI	SAT1
CLDN5	HEY1	UBC	B2M	TGM2	ST6GALNAC3	FLT1	PKHD1L1	HP
HLA-B	A2M	B2M	FABP5	CD74	PCDH7	HLA-C	SEMA3A	PRG4
LGALS3	TMSB10	ZFP36	HLA-B	TSHZ2	EMCN	F8	PTPRE	BNC2
GNG11	SLC9A3R2	HSP90AA1	VWF	SLCO2A1	FOXP1	PECAM1	AKAP12	CCDC80
FABP5	IFI27	HLA-E	HLA-C	HLA-DRA	PCDH15	CLEC14A	FRMD4B	SLPI
IFI27	RNASE1	RGCC	S100A10	VWF	PKHD1L1	MYL7	EFNA5	TIMP1
HLA-C	STOM	HLA-B	LCN6	HLA-DRB1	LINC02388	HLA-DRB1	TSHZ2	KRT19
RNASE1	DUSP1	IER2	CD59	PECAM1	ST6GAL1	NFKBIA	PROX1	KCNT2
F8	ENG	IFI27	IFITM3	IGFBP4	POSTN	HLA-A	MAGI1	CFH
CD59	HLA-B	FABP5	EGFL7	HLA-DPA1	MYRIP	SLCO4A1	NRP2	NPPA
HLA-E	IGFBP3	JUNB	RNASE1	LDB2	TMEM132C	MTRNR2L12	TBX1	EFNA5
RGCC	CAV1	CXCL2	ID1	EMCN	PITPNC1	MYL4	SMAD1	PKHD1L1
CAV1	EPAS1	FOS	GNG11	PLAT	CALCRL	HSPG2	APP	RARRES1
SEC14L1	ICAM2	CLDN5	CLDN5	DUSP23	NRG3	HLA-B	RELN	RBFOX1
	SEMA3G							
	EFNB2							
	DLL4							

